GlobalRanking,Movie Title,ReleaseYear,Director,MPAARating
124,The Wizard of Oz,1939,Victor Fleming,NR
125,Good Will Hunting,1997,Gus Van Sant,R
126,Rope,1948,Alfred Hitchcock,NR
127,Butch Cassidy and the Sundance Kid,1969,George Roy Hill,PG
128,Sherlock Jr.,1924,Buster Keaton,NR
129,The Thin Man,1934,W.S. Van Dyke,NR
130,The Breakfast Club,1985,John Hughes,R
131,Out of the Past,1947,Jacques Tourneur,NR
132,Inglourious Basterds,2009,Quentin Tarantino,R
133,The Lion King,1994,"Roger Allers, Rob Minkoff",G
134,Annie Hall,1977,Woody Allen,PG
135,Duck Soup,1933,Leo McCarey,NR
136,Days of Heaven,1978,Terrence Malick,PG
137,A Fistful of Dollars,1964,Sergio Leone,R
138,Mr. Smith Goes to Washington,1939,Frank Capra,NR
139,American History X,1998,Tony Kaye,R
140,The Thing,1982,John Carpenter,R
141,My Neighbor Totoro,1988,Hayao Miyazaki,G
142,Diabolique,1955,Henri-Georges Clouzot,NR
143,Office Space,1999,Mike Judge,R
144,In a Lonely Place,1950,Nicholas Ray,NR
145,The Kid,1921,Charles Chaplin,NR
146,Bringing Up Baby,1938,Howard Hawks,NR
147,Rio Bravo,1959,Howard Hawks,NR
148,Shaun of the Dead,2004,Edgar Wright,R
149,Breathless,1960,Jean-Luc Godard,NR
150,Anatomy of a Murder,1959,Otto Preminger,NR
151,Kill Bill Vol. 1,2003,Quentin Tarantino,R
152,Once Upon a Time in the West,1968,Sergio Leone,PG13
153,Gladiator,2000,Ridley Scott,R
154,Sullivan's Travels,1941,Preston Sturges,NR
155,Rififi,1955,Jules Dassin,NR
156,The Killing,1956,Stanley Kubrick,NR
157,Rebecca,1940,Alfred Hitchcock,NR
158,Unforgiven,1992,Clint Eastwood,R
159,For a Few Dollars More,1965,Sergio Leone,R
160,A Matter of Life and Death,1946,"Michael Powell, Emeric Pressburger",PG
161,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,R
162,The Sting,1973,George Roy Hill,PG
163,Metropolis,1927,Fritz Lang,NR
164,Lawrence of Arabia,1962,David Lean,G
165,The Graduate,1967,Mike Nichols,PG
